,0,1
1210,six,33
1211,owners,33
1212,takes,33
1213,homes.,33
1214,we'll,33
1215,lyft,33
1216,in-law,33
1217,television,33
1218,sheets,33
1219,proper,33
1220,fireplace,33
1221,daily,33
1222,couch.,32
1223,furniture.,32
1224,hosted,32
1225,morgan.,32
1226,machine,32
1227,house:,32
1228,point,32
1229,loads,32
1230,attached,32
1231,city's,32
1232,sun,32
1233,units,32
1234,chic,32
1235,morning.,32
1236,fabulous,32
1237,exclusive,32
1238,iconic,32
1239,century,32
1240,spaces.,32
1241,nan,32
1242,digital,32
1243,congress.,32
1244,shakespeare,32
1245,xl,32
1246,"dresser,",31
1247,"amenities,",31
1248,eclectic,31
1249,loved,31
1250,blocks.,31
1251,anyone,31
1252,closest,31
1253,"rooms,",31
1254,baths,31
1255,someone,31
1256,providing,31
1257,interaction,31
1258,interesting,31
1259,sights,31
1260,night.,31
1261,long-term,31
1262,height,31
1263,children,31
1264,houses,31
1265,subject,31
1266,total,30
1267,possible.,30
1268,"wi-fi,",30
1269,throw,30
1270,game,30
1271,prefer,30
1272,:),30
1273,"new,",30
1274,month,30
1275,hang,30
1276,refrigerator,30
1277,august,30
1278,"sunny,",30
1279,"you,",30
1280,meals,30
1281,hotel.,30
1282,min.,30
1283,discover,30
1284,shop,30
1285,stores.,30
1286,spend,30
1287,extended,30
1288,"unit,",30
1289,surfaces,30
1290,allowed,30
1291,independent,30
1292,literally,30
1293,bad,30
1294,average,30
1295,highly,30
1296,check-in.,30
1297,suite.,30
1298,hallway.,30
1299,♢,30
1300,touch,30
1301,desirable,30
1302,road,30
1303,town.,29
1304,"bar,",29
1305,seconds,29
1306,alley,29
1307,3.5,29
1308,real,29
1309,life.,29
1310,listed,29
1311,tour,29
1312,here.,29
1313,den,29
1314,accessed,29
1315,dinner,29
1316,fits,29
1317,tree,29
1318,experience.,29
1319,entrances,29
1320,rowhome,29
1321,"smithsonian,",29
1322,lives,29
1323,lighting,29
1324,power,29
1325,reagan,29
1326,points,29
1327,truly,29
1328,mix,29
1329,locations.,29
1330,occupancy,29
1331,en,29
1332,hotels,29
1333,"lobby,",29
1334,usa,29
1335,offering,28
1336,straight,28
1337,(or,28
1338,furnished.,28
1339,summer,28
1340,trees,28
1341,"friendly,",28
1342,facing,28
1343,limited,28
1344,"baths,",28
1345,"out,",28
1346,can't,28
1347,renovated.,28
1348,spots,28
1349,bedding,28
1350,sites.,28
1351,authentic,28
1352,minimum,28
1353,block.,28
1354,mid-century,28
1355,"us,",28
1356,wardman,28
1357,apple,28
1358,needs.,28
1359,due,28
1360,farmer's,28
1361,advice,28
1362,us.,28
1363,row.,28
1364,step,28
1365,nats,28
1366,deep,28
1367,taking,28
1368,better,28
1369,trains,28
1370,manager,28
1371,grand,27
1372,spread,27
1373,sits,27
1374,choose,27
1375,respectful,27
1376,clean.,27
1377,metro!,27
1378,send,27
1379,onto,27
1380,"questions,",27
1381,welcome!,27
1382,commercial,27
1383,"comfort,",27
1384,although,27
1385,tourists,27
1386,1br,27
1387,leads,27
1388,ten,27
1389,offer!,27
1390,events,27
1391,yoga,27
1392,yes,27
1393,"pots,",27
1394,"uber,",27
1395,(red,27
1396,monuments.,27
1397,"hbo,",27
1398,start,27
